# Intel instruction encoding, extracted from architecture ref manual

37             |AAA
D5 0A          |AAD
D4 0A          |AAM
3F             |AAS
14 ib          |ADC AL,imm8
15 iw          |ADC AX,imm16
15 id          |ADC EAX,imm32
80 /2 ib       |ADC r/m8,imm8
81 /2 iw       |ADC r/m16,imm16
81 /2 id       |ADC r/m32,imm32
83 /2 ib       |ADC r/m32,imm8
10 /r          |ADC r/m8,r8
11 /r          |ADC r/m32,r32
12 /r          |ADC r8,r/m8
13 /r          |ADC r32,r/m32
04 ib          |ADD AL,imm8
05 iw          |ADD AX,imm16
05 id          |ADD EAX,imm32
80 /0 ib       |ADD r/m8,imm8
81 /0 iw       |ADD r/m16,imm16
81 /0 id       |ADD r/m32,imm32
83 /0 ib       |ADD r/m32,imm8
00 /r          |ADD r/m8,r8
01 /r          |ADD r/m32,r32
02 /r          |ADD r8,r/m8
03 /r          |ADD r32,r/m32
24 ib          |AND AL,imm8
25 iw          |AND AX,imm16
25 id          |AND EAX,imm32
80 /4 ib       |AND r/m8,imm8
81 /4 iw       |AND r/m16,imm16
81 /4 id       |AND r/m32,imm32
83 /4 ib       |AND r/m32,imm8
20 /r          |AND r/m8,r8
21 /r          |AND r/m32,r32
22 /r          |AND r8,r/m8
23 /r          |AND r32,r/m32
63 /r          |ARPL r/m16,r16
62 /r          |BOUND r32,m32&32
0F BC /r       |BSF r32,r/m32
0F BD /r       |BSR r32,r/m32
0F C8+rd       |BSWAP r32
0F A3 /r       |BT r/m32,r32
0F BA /4 ib    |BT r/m32,imm8
0F BB /r       |BTC r/m32,r32
0F BA /7 ib    |BTC r/m32,imm8
0F B3 /r       |BTR r/m32,r32
0F BA /6 ib    |BTR r/m32,imm8
0F AB /r       |BTS r/m32,r32
0F BA /5 ib    |BTS r/m32,imm8
E8 cd          |CALL rel32
FF /2          |CALL r/m32
9A cp          |CALL ptr16:32
FF /3          |CALL m16:32
98             |CBW
F8             |CLC
FC             |CLD
FA             |CLI
0F 06          |CLTS
F5             |CMC
3C ib          |CMP AL,imm8
3D iw          |CMP AX,imm16
3D id          |CMP EAX,imm32
80 /7 ib       |CMP r/m8,imm8
81 /7 iw       |CMP r/m16,imm16
81 /7 id       |CMP r/m32,imm32
83 /7 ib       |CMP r/m32,imm8
38 /r          |CMP r/m8,r8
39 /r          |CMP r/m32,r32
3A /r          |CMP r8,r/m8
3B /r          |CMP r32,r/m32
A6             |CMPSB
A7             |CMPS
0F B0 /r       |CMPXCHG r/m8,r8
0F B1 /r       |CMPXCHG r/m32,r32
0F C7 /1 m64   |CMPXCHG8B m64
0F A2          |CPUID
99             |CWD
99             |CDQ
27             |DAA
2F             |DAS
FE /1          |DEC r/m8
FF /1          |DEC r/m32
48+rd          |DEC r32
F6 /6          |DIV r/m8
F7 /6          |DIV r/m32
#C8 iw 00      |ENTER imm16,0       # am I missing something here?
#C8 iw 01      |ENTER imm16,1
C8 iw ib       |ENTER imm16,imm8
F4             |HLT
F6 /7          |IDIV r/m8
F7 /7          |IDIV r/m32
F6 /5          |IMUL r/m8
F7 /5          |IMUL r/m32
0F AF /r       |IMUL r32,r/m32
6B /r ib       |IMUL r32,r/m32,imm8
69 /r id       |IMUL r32,r/m32,imm32
E4 ib          |IN AL,imm8
E5 ib          |IN EAX,imm8
EC             |IN AL,DX
ED             |IN EAX,DX
FE /0          |INC r/m8
FF /0          |INC r/m32
40+rd          |INC r32
6C             |INSB
6D             |INS
CC             |INT 3
CD ib          |INT imm8
CE             |INTO
0F 08          |INVD
0F 01 /7       |INVLPG m
CF             |IRET

70 cb          |JO rel8
71 cb          |JNO rel8
